default_flag,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_msinie,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,sy_dist
1,2,1,8,326.03,1.29,6165.6,0.231,4742.0,19.0,2.7,2.31,93.1846
0,2,1,8,389.42665666666664,1.21,5434.7,0.18066666666666667,4565.666666666667,22.596666666666668,2.6,2.1833333333333336,93.1846
0,1,1,8,452.8233133333333,1.51,3432.4,0.13033333333333333,4389.333333333333,26.19333333333333,1.7,2.0566666666666666,125.321
1,1,1,8,516.21997,1.53,4684.8142,0.08,4213.0,29.79,2.78,1.93,125.321
0,1,1,8,516.22,1.54,3337.07,0.08,4340.0,24.08,1.8,1.6,125.321
1,1,1,8,185.84,0.83,1525.5,0.0,4813.0,11.0,2.2,2.63,75.4392
0,1,1,8,722.6933333333334,0.68,1017.0,0.17850000000000002,4960.333333333333,9.333333333333334,1.2,3.22,75.4392
0,1,1,8,1259.5466666666666,2.73,1440.6629999999998,0.35700000000000004,5107.666666666667,7.666666666666666,0.9,3.8100000000000005,17.9323
0,1,1,8,1796.4,2.8,1506.45,0.33799999999999997,5255.0,6.0,0.9,4.4,17.9323
0,1,1,8,1724.0,2.82,1554.12,0.37,5263.333333333333,4.333333333333333,1.0,4.4,17.9323
0,1,1,8,1773.4,2.77,1474.67,0.369,5271.666666666667,2.666666666666666,0.9550000000000001,4.4,17.9323
0,1,1,8,1766.0,2.864,1581.138,0.359,5280.0,1.0,0.91,4.4,17.9323
1,1,1,8,1773.4000199999998,2.93,1481.0878,0.37,5338.0,0.93,0.9,4.45,17.9323
0,3,1,8,800.8,1.6,476.7,0.634,5760.0,0.9966666666666667,1.0,4.35,21.1397
0,3,1,8,798.5,1.681,533.9544,0.6809999999999999,5674.0,1.0633333333333332,0.99,4.36,21.1397
0,3,1,8,799.5,1.68,533.93,0.6890000000000001,5747.0,1.13,1.03,4.35,21.1397
1,3,1,8,798.5,1.66,565.7374,0.68,5750.0,1.13,1.08,4.36,21.1397
0,3,1,8,799.5,1.68,533.93,0.6890000000000001,5493.0,3.5866666666666664,1.59,3.8466666666666667,21.1397
0,2,1,8,896.4,2.54,3127.3,0.3845,5236.0,6.043333333333333,2.1,3.333333333333333,76.222
1,2,1,8,993.3,2.6,3273.5,0.08,4979.0,8.5,2.3,2.82,76.222
0,1,1,3,800.71012,330.0,2676.64506,0.0724,3993.0,1.31,0.62,4.0,139.135
0,1,1,3,608.12024,330.0,2079.79012,0.0648,4060.0,1.33,0.85,3.605,139.135
0,1,1,3,415.53036,330.0,1482.9351800000002,0.0572,4060.0,1.35,0.85,3.21,139.135
1,1,1,3,222.94047999999998,330.0,886.0802400000002,0.049600000000000005,4060.0,5.995000000000001,0.85,2.815,139.135
1,1,1,8,30.3506,0.19,289.2253,0.042,4893.0,10.64,0.99,2.42,95.9863
1,1,2,8,452.8,1.3330000000000002,632.46,0.09,5098.0,4.9,1.54,3.5,72.0691
1,1,2,8,883.0,2.08,273.32,0.29,5098.0,4.9,1.54,3.5,72.0691
1,2,1,3,824.625,84.0,647.7827818181818,0.2866666666666666,4203.5,2.6350000000000002,0.19,4.18,52.9486
0,1,1,3,766.25,68.0,1022.2455636363636,0.2833333333333333,3309.0,0.37,0.35,4.86,33.8281
1,1,1,3,707.875,52.0,1396.7083454545455,0.27999999999999997,3530.0,0.325,0.4,4.725,33.8281
1,1,1,3,649.5,156.0,1771.1711272727273,0.27666666666666667,3064.0,0.28,0.11,4.59,43.98806666666667
1,1,1,3,591.125,15.0,2145.633909090909,0.2733333333333333,2984.3333333333335,0.26,0.02,4.736666666666666,54.14803333333334
0,1,1,3,532.75,55.0,2520.096690909091,0.27,2904.6666666666665,0.24000000000000002,0.02,4.883333333333334,64.308
1,1,1,3,474.375,46.0,2894.5594727272733,0.26666666666666666,2825.0,0.22,0.19,5.03,64.308
1,2,1,2,416.0,0.92,3269.022254545455,0.26333333333333336,2562.5,0.16999999999999998,0.48,4.88,396.332
1,1,1,3,7336.5,115.46000000000001,3643.4850363636365,0.26,2300.0,0.12,0.08,4.73,232.95285
1,1,1,3,3835.800005,230.0,4017.9478181818185,0.275,4045.0,0.765,0.6,4.58,69.5737
1,4,1,8,335.10001,0.99,4392.4106,0.29,6331.0,1.41,1.93,4.43,44.657
0,4,1,8,335.1,0.995,3140.03,0.289,6300.0,1.13,1.16,4.5,44.657
0,4,1,8,345.4,1.01,2097.678,0.18,5357.5,1.13,1.16,3.15,44.657
1,1,1,8,269.3,0.87,2256.5,0.43200000000000005,4415.0,18.11,1.23,1.8,73.4603
1,2,1,8,479.1,1.19,1233.13,0.38,4200.0,22.03,0.98,1.71,90.6545
1,1,3,8,1078.0,2.1,804.08,0.032,5872.0,1.21,1.06,4.3,13.7967
0,1,3,8,1083.2,2.11,826.32,0.049,5877.0,1.21,1.06,4.3,13.7967
0,1,3,8,1076.6,2.1,778.6835,0.012,5882.0,1.21,1.06,4.3,13.7967
0,1,3,8,1100.8,2.11,877.17,0.09699999999999999,5877.0,1.21,1.06,4.3,13.7967
1,1,3,8,2391.0,3.6,171.62099999999998,0.098,5872.0,1.21,1.06,4.3,13.7967
0,1,3,8,7586.0,7.73,425.87,0.005,5872.0,1.21,1.06,4.3,13.7967
1,1,3,8,14002.0,11.6,521.22,0.16,5872.0,1.21,1.06,4.3,13.7967
0,3,1,3,14965.0,14.0,428.41725,0.21,7295.0,1.49,1.65,4.31,29.7575
1,3,1,3,11688.0,12.0,335.6145,0.45,7295.0,1.49,1.65,4.31,29.7575
